S.No,Model,Category Code,Category,Estimated Energy (kWh),Avg CO2 Emission (g),Tokens Used,Grid Intensity (gCO2/kWh),Measurement Method,Source Reference,Experiment Batch ID
521,Claude 3,P2,Physics Mechanics,0.0011,0.39329,622,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
522,GPT-4,P3,Physics EM,0.001,0.549,858,240,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-10
523,Claude 3,G1,General Short,0.00119,0.3604,1693,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
524,Grok-1.5,P2,Physics Mechanics,0.001296,0.62409,1296,240,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-8
525,Grok-1.5,C3,Code DS/Algo,0.0011593,0.509,1772,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-1
526,Grok-1.5,C2,Code API/JSON,0.0019,0.83323,518,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
527,GPT-4,R2,Reasoning Logical,0.0010429,0.45224,103,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-8
528,GPT-4,G3,General Long,0.001072,0.542,514,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-3
529,Llama-3 70B,C2,Code API/JSON,0.0004269,0.15,284,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
530,Llama-3 70B,R2,Reasoning Logical,0.0003799,0.2055,1091,419,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
531,Claude 3,C1,Code Basic,0.000989,0.3651,1364,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-13
532,Claude 3,P1,Physics Basic,0.0009452,0.5937,1587,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
533,Grok-1.5,C4,Code LeetCode Easy,0.00129,0.52,1328,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
534,Claude 3,R2,Reasoning Logical,0.0009,0.3499,1178,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-9
535,Llama-3 70B,M1,Math Basic,0.00033,0.15481,184,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
536,GPT-4,P2,Physics Mechanics,0.0011,0.616,522,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-14
537,GPT-4,R1,Reasoning Basic,0.000901,,618,20,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-4
538,Llama-3 70B,R3,Reasoning Puzzle,0.0006,0.29824,789,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-12
539,Claude 3,P2,Physics Mechanics,0.0009,0.325,695,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
540,Grok-1.5,C1,Code Basic,0.0012,0.43,1739,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-14
541,Claude 3,M4,Math Advanced,0.00199,0.794,437,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
542,Llama-3 70B,R2,Reasoning Logical,0.00039,0.205,738,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
543,Claude 3,M1,Math Basic,0.00112,0.577,1126,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-14
544,Grok-1.5,R1,Reasoning Basic,0.0014616,0.752,259,20,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
545,Llama-3 70B,C5,Code LeetCode Hard,0.0008,0.3183,907,419,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-1
546,GPT-4,M4,Math Advanced,0.002156,0.8951,1685,240,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
547,GPT-4,P4,Physics Quantum,0.0021,0.8588,1176,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-12
548,Llama-3 70B,M3,Math Calculus,0.0006287,0.29,270,20,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-14
549,Grok-1.5,R1,Reasoning Basic,0.0014925,0.6744,1213,240,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-11
550,GPT-4,G3,General Long,0.000877,0.3825,820,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
551,Llama-3 70B,R2,Reasoning Logical,0.0003462,0.166,1688,419,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
552,GPT-4,M1,Math Basic,0.0008176,0.407,1613,240,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
553,Grok-1.5,M4,Math Advanced,0.0028,1.1884,1289,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-13
554,Llama-3 70B,C1,Code Basic,0.000331,,901,625,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
555,Llama-3 70B,G1,General Short,0.0003,0.18,1760,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
556,Llama-3 70B,M3,Math Calculus,0.000583,0.2521,177,240,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
557,Llama-3 70B,R3,Reasoning Puzzle,0.000766,0.36,398,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
558,GPT-4,C4,Code LeetCode Easy,0.001,0.3893,1010,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-7
559,Claude 3,C5,Code LeetCode Hard,0.002144,0.6812,224,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-8
560,Llama-3 70B,P3,Physics EM,0.00038,0.1987,239,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
561,GPT-4,P1,Physics Basic,0.0008,0.2624,1304,20,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
562,Claude 3,G2,General Medium,0.0009578,0.4918,1492,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-10
563,Claude 3,C1,Code Basic,0.000947,0.433,1408,20,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
564,Claude 3,M1,Math Basic,0.001,0.5071,1233,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
565,Claude 3,P3,Physics EM,0.00118,0.39,976,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-7
566,Grok-1.5,P1,Physics Basic,0.0014282,0.5609,549,240,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
567,Llama-3 70B,M5,Math Olympiad,0.0008,0.42031,196,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
568,Claude 3,C5,Code LeetCode Hard,0.0022,1.06,1759,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-3
569,GPT-4,P2,Physics Mechanics,0.001,0.5738,1638,625,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
570,Grok-1.5,P4,Physics Quantum,0.0031,1.05,849,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-10
571,Llama-3 70B,R1,Reasoning Basic,0.0004,0.18139,1096,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-7
572,Llama-3 70B,P1,Physics Basic,0.00038,0.145,888,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
573,Llama-3 70B,P2,Physics Mechanics,0.000389,0.133,1187,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
574,GPT-4,M2,Math Algebra,0.001069,0.47,1049,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
575,GPT-4,P2,Physics Mechanics,0.0009,0.3,1048,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
576,Llama-3 70B,M5,Math Olympiad,0.0008603,0.46107,284,623,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-14
577,Llama-3 70B,G1,General Short,0.0004232,0.2255,135,240,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
578,Grok-1.5,P4,Physics Quantum,0.0040135,1.9481,595,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-6
579,Grok-1.5,G2,General Medium,0.001604,0.8,761,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
580,GPT-4,C4,Code LeetCode Easy,0.001011,0.551,124,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-3
581,Claude 3,M3,Math Calculus,0.0015475,0.8,720,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-8
582,GPT-4,G2,General Medium,0.000812,0.39,323,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
583,GPT-4,C5,Code LeetCode Hard,0.00195,0.98392,288,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
584,Grok-1.5,R3,Reasoning Puzzle,0.0030335,1.156,87,20,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-10
585,Grok-1.5,R1,Reasoning Basic,0.0012001,,342,419,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
586,GPT-4,C5,Code LeetCode Hard,0.0019446,0.87585,1347,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
587,Grok-1.5,M5,Math Olympiad,0.0032796,1.4717,709,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-13
588,Claude 3,C1,Code Basic,0.0009347,0.3985,152,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-8
589,GPT-4,P4,Physics Quantum,0.0024649,1.0,738,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
590,Grok-1.5,C1,Code Basic,0.0012,0.4639,438,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-13
591,GPT-4,C3,Code DS/Algo,0.0011,0.4928,1327,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-6
592,Llama-3 70B,P3,Physics EM,0.0004,0.22,1110,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
593,Llama-3 70B,C2,Code API/JSON,0.0005,0.26731,1545,419,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
594,Claude 3,M1,Math Basic,0.001039,0.512,905,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
595,GPT-4,G1,General Short,0.0010578,0.5659,1556,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-2
596,GPT-4,P2,Physics Mechanics,0.0009,0.5589,1532,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
597,Grok-1.5,C2,Code API/JSON,0.0022,1.208,704,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
598,Llama-3 70B,C3,Code DS/Algo,0.0004,,1348,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-10
599,Claude 3,C2,Code API/JSON,0.001327,0.55602,1162,240,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
600,Llama-3 70B,P2,Physics Mechanics,0.000338,0.13,1735,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
601,GPT-4,R3,Reasoning Puzzle,0.001808,0.77,1567,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
602,GPT-4,R3,Reasoning Puzzle,0.0015,0.67,92,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
603,Claude 3,P2,Physics Mechanics,0.000953,0.36361,422,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-11
604,Claude 3,G3,General Long,0.00101,0.46,1305,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-3
605,Grok-1.5,P4,Physics Quantum,0.003491,1.61,1169,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-7
606,Llama-3 70B,M5,Math Olympiad,0.000957,0.3143,1521,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-9
607,Grok-1.5,M5,Math Olympiad,0.00357,1.2437,702,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
608,GPT-4,P1,Physics Basic,0.0009,0.34,576,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
609,Llama-3 70B,R1,Reasoning Basic,0.0003,0.133,1608,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-12
610,GPT-4,C1,Code Basic,0.001018,0.3688,1231,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-11
611,Grok-1.5,R1,Reasoning Basic,0.0012,0.517,779,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
612,Grok-1.5,R2,Reasoning Logical,0.001589,0.6679,456,240,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-9
613,Claude 3,G3,General Long,0.001108,0.40927,238,20,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
614,GPT-4,C4,Code LeetCode Easy,0.00085,0.371,1440,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
615,Grok-1.5,C3,Code DS/Algo,0.001367,0.522,1082,240,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
616,Grok-1.5,M5,Math Olympiad,0.00301,1.07,1343,419,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-3
617,Llama-3 70B,M2,Math Algebra,0.00038,0.171,1694,419,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
618,Llama-3 70B,M3,Math Calculus,0.0006209,0.318,380,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
619,GPT-4,R2,Reasoning Logical,0.0008,0.247,1413,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
620,Llama-3 70B,M4,Math Advanced,0.000738,0.32,789,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-11
621,Llama-3 70B,C5,Code LeetCode Hard,0.00089,0.305,1193,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
622,GPT-4,P1,Physics Basic,0.00096,0.4175,1420,240,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-1
623,GPT-4,R1,Reasoning Basic,0.000828,0.31817,924,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
624,GPT-4,M4,Math Advanced,0.00207,0.96633,708,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
625,GPT-4,C3,Code DS/Algo,0.0010271,0.3996,355,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
626,Llama-3 70B,C3,Code DS/Algo,0.0003138,0.10685,1349,240,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-13
627,Claude 3,R1,Reasoning Basic,0.001059,0.41225,874,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-8
628,Claude 3,C4,Code LeetCode Easy,0.00104,0.5451,413,20,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-10
629,Grok-1.5,R2,Reasoning Logical,0.0016,0.6834,888,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
630,GPT-4,M5,Math Olympiad,0.00262,0.96,741,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
631,Llama-3 70B,C2,Code API/JSON,0.00054,0.2865,1717,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
632,GPT-4,G1,General Short,0.001056,0.438,1528,240,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
633,Llama-3 70B,C3,Code DS/Algo,0.0003,0.1583,1401,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-3
634,Llama-3 70B,M4,Math Advanced,0.000673,0.22831,685,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
635,Llama-3 70B,R3,Reasoning Puzzle,0.0007,0.27361,781,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
636,Claude 3,C2,Code API/JSON,0.0014,0.71,204,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-5
637,Grok-1.5,G1,General Short,0.0015,0.58268,931,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-4
638,GPT-4,P1,Physics Basic,0.00097,0.3345,766,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
639,GPT-4,M5,Math Olympiad,0.0022968,1.414,500,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
640,Grok-1.5,M3,Math Calculus,0.0027,1.1,1157,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-3
641,Llama-3 70B,M1,Math Basic,0.000353,0.1897,1662,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
642,GPT-4,G2,General Medium,0.0008179,0.51,1730,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
643,Llama-3 70B,R3,Reasoning Puzzle,0.000599,0.3318,1042,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-9
644,Claude 3,M1,Math Basic,0.001024,0.4307,1711,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
645,GPT-4,G2,General Medium,0.0008,,1110,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
646,Claude 3,G1,General Short,0.001206,0.56,914,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-8
647,Claude 3,G1,General Short,0.00096,,436,20,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
648,Claude 3,M2,Math Algebra,0.0014,0.595,693,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-4
